"response_id","survey_id","survey_title","session_id","session_num","evaluator_token","pattern_id","pattern_title","pattern_link","started_at","completed_at","duration_ms","duration_human","submitted_at","session_duration_ms","session_duration_human","q_q_student_level","q_q_time_to_understand","q_q_documentation_clarity","q_q_naming_clarity","q_q_adoption","q_q_adoption_justification","q_q_time_saved"
115,3,students evaluation,270,17,kd5NyZrpnH_U4qC4wWxkywT4ELiy_naKOGc1jaw7Wiw,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-135-01/ontology.ttl,2026-04-23T09:03:42.207000,2026-04-23T09:37:46.248000,107050,1m 47s,2026-04-23T09:50:56.648443,2923483,48m 43s,MSc,3,5,5,Yes,The model response was really concrete and on point. It did let me understand the scenario even better. The naming is well organized and consistent. But it's missing some ontology preparation for given CQs.,26–50%
116,3,students evaluation,270,17,kd5NyZrpnH_U4qC4wWxkywT4ELiy_naKOGc1jaw7Wiw,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-135-01/ontology.ttl,2026-04-23T09:08:44.684000,2026-04-23T09:37:56.960000,10712,10s,2026-04-23T09:50:56.648451,2923483,48m 43s,MSc,4,3,3,Maybe,"There are some ambiguous names such as ""Use"" or ""Write"" that may be not the perfect choice. The readability of the document is worse that the previous one. But it answers more CQs than t the previous one. ",1–25%
117,3,students evaluation,270,17,kd5NyZrpnH_U4qC4wWxkywT4ELiy_naKOGc1jaw7Wiw,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-01/ontology.ttl,2026-04-23T09:37:56.960000,2026-04-23T09:46:43.279000,526319,8m 46s,2026-04-23T09:50:56.648455,2923483,48m 43s,MSc,7,4,4,Yes,"The scenario and corresponding model response are a bit more complex, but they're still well described. I think that some of properties are doubled (e.g. :hasChallengeDescription range and domain). It's again missing the CQs ",51–75%
118,3,students evaluation,270,17,kd5NyZrpnH_U4qC4wWxkywT4ELiy_naKOGc1jaw7Wiw,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-01/ontology.ttl,2026-04-23T09:46:43.280000,2026-04-23T09:50:56.747000,253467,4m 13s,2026-04-23T09:50:56.648459,2923483,48m 43s,MSc,6,3,3,Maybe,"It's similar to the 2nd response. The names are still ambiguous sometimes. This output is a ontology related for CQs, but doesn't align much with scenario. I would personally combine both models, so one would generate a ontology for the scenario, and second one a ontology related to CQs. ",1–25%
157,3,students evaluation,304,30,iHxjWKEld_RLJK68F5i-WiCOZe-LN3onZniWqrx5AZI,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-147-01/ontology.ttl,2026-05-02T22:24:19.310000,2026-05-02T22:36:52.411000,753101,12m 33s,2026-05-02T22:47:13.691296,1431201,23m 51s,PhD,8,5,5,Maybe,It feels like the ODP is just a simulation of a scenario and it is simple and small (as it expected) but a 'trajectory' component is not feel right at the moment. I can not see how it can be a core component w.r.t ot its comments and in CQs (2 CQs are around it).,76–100%
158,3,students evaluation,304,30,iHxjWKEld_RLJK68F5i-WiCOZe-LN3onZniWqrx5AZI,7,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-147-01/ontology.ttl,2026-05-02T22:36:52.411000,2026-05-02T22:41:42.619000,290208,4m 50s,2026-05-02T22:47:13.691305,1431201,23m 51s,PhD,3,5,4,No,The missing hierarchies or properties among classes make the adoption a bit hard.,1–25%
159,3,students evaluation,304,30,iHxjWKEld_RLJK68F5i-WiCOZe-LN3onZniWqrx5AZI,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-01/ontology.ttl,2026-05-02T22:41:42.620000,2026-05-02T22:45:37.483000,234863,3m 54s,2026-05-02T22:47:13.691309,1431201,23m 51s,PhD,3,5,5,Yes,The hierarchies are in high-level categorization o challenge which later can be extended and support the variety of challenges.,76–100%
160,3,students evaluation,304,30,iHxjWKEld_RLJK68F5i-WiCOZe-LN3onZniWqrx5AZI,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-01/ontology.ttl,2026-05-02T22:45:37.484000,2026-05-02T22:47:25.263000,107779,1m 47s,2026-05-02T22:47:13.691313,1431201,23m 51s,PhD,1,5,4,No,"There is no hierarchy or relationship between the classes, so the work is not well structured according to OOP principles, and it is mostly incomplete.",0%
165,3,students evaluation,318,36,8HrPMNndtRBGdZO_OuVUrqsqqU6ZmkIqSwSQcDYZhlw,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-134-01/ontology.ttl,2026-05-06T13:37:56.041000,2026-05-06T13:39:17.987000,81946,1m 21s,2026-05-06T13:51:56.428214,856460,14m 16s,MSc,10,3,4,Maybe,,1–25%
166,3,students evaluation,318,36,8HrPMNndtRBGdZO_OuVUrqsqqU6ZmkIqSwSQcDYZhlw,2,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-134-01/ontology.ttl,2026-05-06T13:39:17.987000,2026-05-06T13:39:36.680000,18693,18s,2026-05-06T13:51:56.428222,856460,14m 16s,MSc,5,3,4,Maybe,,26–50%
167,3,students evaluation,318,36,8HrPMNndtRBGdZO_OuVUrqsqqU6ZmkIqSwSQcDYZhlw,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-133-01/ontology.ttl,2026-05-06T13:39:36.680000,2026-05-06T13:51:38.591000,721911,12m 1s,2026-05-06T13:51:56.428226,856460,14m 16s,MSc,5,3,4,Maybe,,1–25%
168,3,students evaluation,318,36,8HrPMNndtRBGdZO_OuVUrqsqqU6ZmkIqSwSQcDYZhlw,0,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-133-01/ontology.ttl,2026-05-06T13:51:38.592000,2026-05-06T13:51:56.630000,18038,18s,2026-05-06T13:51:56.428230,856460,14m 16s,MSc,5,3,4,Maybe,,1–25%
169,3,students evaluation,330,48,rjok1zPQGY7rrr8e5m07CcgCJxr7DGbcA9FZwzpzxSU,9,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2025-150-01/ontology.ttl,2026-05-06T21:25:51.493000,2026-05-06T21:32:49.152000,417659,6m 57s,2026-05-06T21:45:32.544132,1203975,20m 3s,PhD,7,2,5,Yes,Looks like a pretty straightforward implementation of the proposed scenario.,1–25%
170,3,students evaluation,330,48,rjok1zPQGY7rrr8e5m07CcgCJxr7DGbcA9FZwzpzxSU,9,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2025-150-01/ontology.ttl,2026-05-06T21:32:49.152000,2026-05-06T21:37:16.097000,266945,4m 26s,2026-05-06T21:45:32.544140,1203975,20m 3s,PhD,4,2,5,No,"I don't think it makes sense to represent the components of the MQTT protocol (participants, topics, etc.) as subclasses of MQTT, as there isn't an is-a relationship between the elements of the protocol and the protocol itself. ""Specialized protocols"" or something should be subclasses of MQTT instead.",0%
171,3,students evaluation,330,48,rjok1zPQGY7rrr8e5m07CcgCJxr7DGbcA9FZwzpzxSU,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-3.1-8B-Instruct/scenario-only/2023-135-01/ontology.ttl,2026-05-06T21:37:16.097000,2026-05-06T21:41:03.662000,227565,3m 47s,2026-05-06T21:45:32.544144,1203975,20m 3s,PhD,4,2,5,Maybe,"With no representation for books, the first CQ cannot be resolved. I'll assume the third CQ is noise due to having no connection to the scenario.",0%
172,3,students evaluation,330,48,rjok1zPQGY7rrr8e5m07CcgCJxr7DGbcA9FZwzpzxSU,5,,https://raw.githubusercontent.com/ebrahimnorouzi/ODPGen/refs/heads/main/outputs/meta-llama_Llama-2-70b-chat-hf/cq-only/2023-135-01/ontology.ttl,2026-05-06T21:41:03.662000,2026-05-06T21:45:32.390000,268728,4m 28s,2026-05-06T21:45:32.544148,1203975,20m 3s,PhD,4,1,3,No,"A lot of information, such as property domains and ranges, are missing. There is no ""wrote book"" property, though it would be easy to add. No whitespace makes this hard to read. In isolation, any of these would be okay, but together, the inconvenience grows.",1–25%
